
All primitive solutions with B <= 7200^2

        1 =    1^2,        25 =    5^2,        49 =    7^2  with difference        24
       49 =    7^2,       169 =   13^2,       289 =   17^2  with difference       120
       49 =    7^2,       289 =   17^2,       529 =   23^2  with difference       240
      289 =   17^2,       625 =   25^2,       961 =   31^2  with difference       336
        1 =    1^2,       841 =   29^2,      1681 =   41^2  with difference       840
      529 =   23^2,      1369 =   37^2,      2209 =   47^2  with difference       840
      961 =   31^2,      1681 =   41^2,      2401 =   49^2  with difference       720
      289 =   17^2,      2809 =   53^2,      5329 =   73^2  with difference      2520
     2401 =   49^2,      3721 =   61^2,      5041 =   71^2  with difference      1320
     2209 =   47^2,      4225 =   65^2,      6241 =   79^2  with difference      2016
      529 =   23^2,      4225 =   65^2,      7921 =   89^2  with difference      3696
       49 =    7^2,      5329 =   73^2,     10609 =  103^2  with difference      5280
     5041 =   71^2,      7225 =   85^2,      9409 =   97^2  with difference      2184
     1681 =   41^2,      7225 =   85^2,     12769 =  113^2  with difference      5544
     1681 =   41^2,      7921 =   89^2,     14161 =  119^2  with difference      6240
       49 =    7^2,      9409 =   97^2,     18769 =  137^2  with difference      9360
     6241 =   79^2,     10201 =  101^2,     14161 =  119^2  with difference      3960
      961 =   31^2,     11881 =  109^2,     22801 =  151^2  with difference     10920
     9409 =   97^2,     12769 =  113^2,     16129 =  127^2  with difference      3360
     5329 =   73^2,     15625 =  125^2,     25921 =  161^2  with difference     10296
      289 =   17^2,     18769 =  137^2,     37249 =  193^2  with difference     18480
    16129 =  127^2,     21025 =  145^2,     25921 =  161^2  with difference      4896
    14161 =  119^2,     21025 =  145^2,     27889 =  167^2  with difference      6864
     7921 =   89^2,     22201 =  149^2,     36481 =  191^2  with difference     14280
     2209 =   47^2,     24649 =  157^2,     47089 =  217^2  with difference     22440
        1 =    1^2,     28561 =  169^2,     57121 =  239^2  with difference     28560
    12769 =  113^2,     29929 =  173^2,     47089 =  217^2  with difference     17160
    25921 =  161^2,     32761 =  181^2,     39601 =  199^2  with difference      6840
    14161 =  119^2,     34225 =  185^2,     54289 =  233^2  with difference     20064
     2401 =   49^2,     34225 =  185^2,     66049 =  257^2  with difference     31824
     5329 =   73^2,     37249 =  193^2,     69169 =  263^2  with difference     31920
    27889 =  167^2,     38809 =  197^2,     49729 =  223^2  with difference     10920
    10609 =  103^2,     42025 =  205^2,     73441 =  271^2  with difference     31416
      529 =   23^2,     42025 =  205^2,     83521 =  289^2  with difference     41496
    39601 =  199^2,     48841 =  221^2,     58081 =  241^2  with difference      9240
      961 =   31^2,     48841 =  221^2,     96721 =  311^2  with difference     47880
    25921 =  161^2,     52441 =  229^2,     78961 =  281^2  with difference     26520
    10609 =  103^2,     54289 =  233^2,     97969 =  313^2  with difference     43680
     7921 =   89^2,     58081 =  241^2,    108241 =  329^2  with difference     50160
    49729 =  223^2,     66049 =  257^2,     82369 =  287^2  with difference     16320
    58081 =  241^2,     70225 =  265^2,     82369 =  287^2  with difference     12144
    22801 =  151^2,     70225 =  265^2,    117649 =  343^2  with difference     47424
    36481 =  191^2,     72361 =  269^2,    108241 =  329^2  with difference     35880
    18769 =  137^2,     76729 =  277^2,    134689 =  367^2  with difference     57960
     5041 =   71^2,     78961 =  281^2,    152881 =  391^2  with difference     73920
     6241 =   79^2,     83521 =  289^2,    160801 =  401^2  with difference     77280
    47089 =  217^2,     85849 =  293^2,    124609 =  353^2  with difference     38760
    18769 =  137^2,     93025 =  305^2,    167281 =  409^2  with difference     74256
      289 =   17^2,     93025 =  305^2,    185761 =  431^2  with difference     92736
    82369 =  287^2,     97969 =  313^2,    113569 =  337^2  with difference     15600
    54289 =  233^2,    100489 =  317^2,    146689 =  383^2  with difference     46200
    82369 =  287^2,    105625 =  325^2,    128881 =  359^2  with difference     23256
     2401 =   49^2,    105625 =  325^2,    208849 =  457^2  with difference    103224
    12769 =  113^2,    113569 =  337^2,    214369 =  463^2  with difference    100800
    14161 =  119^2,    121801 =  349^2,    229441 =  479^2  with difference    107640
     2209 =   47^2,    124609 =  353^2,    247009 =  497^2  with difference    122400
   113569 =  337^2,    133225 =  365^2,    152881 =  391^2  with difference     19656
    78961 =  281^2,    133225 =  365^2,    187489 =  433^2  with difference     54264
      529 =   23^2,    139129 =  373^2,    277729 =  527^2  with difference    138600
    47089 =  217^2,    142129 =  377^2,    237169 =  487^2  with difference     95040
    37249 =  193^2,    142129 =  377^2,    247009 =  497^2  with difference    104880
    22801 =  151^2,    151321 =  389^2,    279841 =  529^2  with difference    128520
     9409 =   97^2,    157609 =  397^2,    305809 =  553^2  with difference    148200
   128881 =  359^2,    160801 =  401^2,    192721 =  439^2  with difference     31920
    73441 =  271^2,    167281 =  409^2,    261121 =  511^2  with difference     93840
   152881 =  391^2,    177241 =  421^2,    201601 =  449^2  with difference     24360
   108241 =  329^2,    180625 =  425^2,    253009 =  503^2  with difference     72384
       49 =    7^2,    180625 =  425^2,    361201 =  601^2  with difference    180576
    69169 =  263^2,    187489 =  433^2,    305809 =  553^2  with difference    118320
   124609 =  353^2,    198025 =  445^2,    271441 =  521^2  with difference     73416
    37249 =  193^2,    198025 =  445^2,    358801 =  599^2  with difference    160776
     5041 =   71^2,    201601 =  449^2,    398161 =  631^2  with difference    196560
    66049 =  257^2,    208849 =  457^2,    351649 =  593^2  with difference    142800
    14161 =  119^2,    212521 =  461^2,    410881 =  641^2  with difference    198360
   201601 =  449^2,    231361 =  481^2,    261121 =  511^2  with difference     29760
     1681 =   41^2,    231361 =  481^2,    461041 =  679^2  with difference    229680
   192721 =  439^2,    235225 =  485^2,    277729 =  527^2  with difference     42504
   146689 =  383^2,    235225 =  485^2,    323761 =  569^2  with difference     88536
   117649 =  343^2,    243049 =  493^2,    368449 =  607^2  with difference    125400
    97969 =  313^2,    243049 =  493^2,    388129 =  623^2  with difference    145080
    57121 =  239^2,    255025 =  505^2,    452929 =  673^2  with difference    197904
     1681 =   41^2,    255025 =  505^2,    508369 =  713^2  with difference    253344
    57121 =  239^2,    259081 =  509^2,    461041 =  679^2  with difference    201960
    25921 =  161^2,    271441 =  521^2,    516961 =  719^2  with difference    245520
   187489 =  433^2,    284089 =  533^2,    380689 =  617^2  with difference     96600
    16129 =  127^2,    284089 =  533^2,    552049 =  743^2  with difference    267960
     6241 =   79^2,    292681 =  541^2,    579121 =  761^2  with difference    286440
